('प्राथमिक-लट्-कर्तरि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लोट्-कर्मणि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लोट्-कर्मणि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लोट्-कर्मणि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लोट्-कर्मणि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लोट्-कर्मणि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-विधिलिङ्-कर्तरि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-विधिलिङ्-कर्तरि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-विधिलिङ्-कर्तरि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-विधिलिङ्-कर्तरि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-विधिलिङ्-कर्तरि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-विधिलिङ्-कर्तरि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-विधिलिङ्-कर्तरि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-विधिलिङ्-कर्तरि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-विधिलिङ्-कर्तरि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-विधिलिङ्-कर्मणि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-विधिलिङ्-कर्मणि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-विधिलिङ्-कर्मणि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-विधिलिङ्-कर्मणि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-विधिलिङ्-कर्मणि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-विधिलिङ्-कर्मणि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-विधिलिङ्-कर्मणि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-विधिलिङ्-कर्मणि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-विधिलिङ्-कर्मणि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लङ्-कर्तरि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लङ्-कर्तरि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लङ्-कर्तरि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लङ्-कर्तरि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लङ्-कर्तरि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लङ्-कर्तरि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लङ्-कर्तरि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लङ्-कर्तरि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लङ्-कर्तरि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लङ्-कर्मणि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लङ्-कर्मणि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लङ्-कर्मणि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लङ्-कर्मणि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लङ्-कर्मणि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लङ्-कर्मणि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लङ्-कर्मणि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लङ्-कर्मणि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लङ्-कर्मणि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृट्-कर्तरि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृट्-कर्तरि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृट्-कर्तरि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृट्-कर्तरि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृट्-कर्तरि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृट्-कर्तरि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृट्-कर्तरि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृट्-कर्तरि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृट्-कर्तरि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृट्-कर्मणि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृट्-कर्मणि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृट्-कर्मणि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृट्-कर्मणि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृट्-कर्मणि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृट्-कर्मणि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृट्-कर्मणि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृट्-कर्मणि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृट्-कर्मणि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लिट्-कर्तरि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लिट्-कर्तरि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लिट्-कर्तरि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लिट्-कर्तरि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लिट्-कर्तरि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लिट्-कर्तरि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लिट्-कर्तरि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लिट्-कर्तरि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लिट्-कर्तरि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लिट्-कर्मणि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लिट्-कर्मणि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लिट्-कर्मणि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लिट्-कर्मणि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लिट्-कर्मणि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लिट्-कर्मणि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लिट्-कर्मणि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लिट्-कर्मणि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लिट्-कर्मणि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लुङ्-कर्तरि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लुङ्-कर्तरि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लुङ्-कर्तरि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लुङ्-कर्तरि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लुङ्-कर्तरि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लुङ्-कर्तरि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लुङ्-कर्तरि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लुङ्-कर्तरि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लुङ्-कर्तरि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लुङ्-कर्मणि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लुङ्-कर्मणि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लुङ्-कर्मणि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लुङ्-कर्मणि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लुङ्-कर्मणि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लुङ्-कर्मणि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लुङ्-कर्मणि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लुङ्-कर्मणि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लुङ्-कर्मणि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-आगमाभावयुक्तलुङ्-कर्तरि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-आगमाभावयुक्तलुङ्-कर्तरि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-आगमाभावयुक्तलुङ्-कर्तरि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-आगमाभावयुक्तलुङ्-कर्तरि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-आगमाभावयुक्तलुङ्-कर्तरि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-आगमाभावयुक्तलुङ्-कर्तरि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-आगमाभावयुक्तलुङ्-कर्तरि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-आगमाभावयुक्तलुङ्-कर्तरि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-आगमाभावयुक्तलुङ्-कर्तरि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-आगमाभावयुक्तलुङ्-कर्मणि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-आगमाभावयुक्तलुङ्-कर्मणि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-आगमाभावयुक्तलुङ्-कर्मणि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-आगमाभावयुक्तलुङ्-कर्मणि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-आगमाभावयुक्तलुङ्-कर्मणि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-आगमाभावयुक्तलुङ्-कर्मणि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-आगमाभावयुक्तलुङ्-कर्मणि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-आगमाभावयुक्तलुङ्-कर्मणि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-आगमाभावयुक्तलुङ्-कर्मणि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृङ्-कर्तरि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृङ्-कर्तरि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृङ्-कर्तरि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृङ्-कर्तरि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृङ्-कर्तरि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृङ्-कर्तरि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृङ्-कर्तरि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृङ्-कर्तरि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृङ्-कर्तरि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृङ्-कर्मणि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृङ्-कर्मणि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृङ्-कर्मणि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृङ्-कर्मणि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृङ्-कर्मणि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृङ्-कर्मणि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृङ्-कर्मणि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृङ्-कर्मणि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लृङ्-कर्मणि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-आशीर्लिङ्-कर्तरि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-आशीर्लिङ्-कर्तरि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-आशीर्लिङ्-कर्तरि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-आशीर्लिङ्-कर्तरि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-आशीर्लिङ्-कर्तरि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-आशीर्लिङ्-कर्तरि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-आशीर्लिङ्-कर्तरि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-आशीर्लिङ्-कर्तरि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-आशीर्लिङ्-कर्तरि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-आशीर्लिङ्-कर्मणि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-आशीर्लिङ्-कर्मणि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-आशीर्लिङ्-कर्मणि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-आशीर्लिङ्-कर्मणि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-आशीर्लिङ्-कर्मणि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-आशीर्लिङ्-कर्मणि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-आशीर्लिङ्-कर्मणि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-आशीर्लिङ्-कर्मणि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-आशीर्लिङ्-कर्मणि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('णिजन्त-लट्-कर्तरि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('णिजन्त-लट्-कर्तरि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('णिजन्त-लट्-कर्तरि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('णिजन्त-लट्-कर्तरि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('णिजन्त-लट्-कर्तरि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('णिजन्त-लट्-कर्तरि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('णिजन्त-लट्-कर्तरि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('णिजन्त-लट्-कर्तरि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('णिजन्त-लट्-कर्तरि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('णिजन्त-लट्-कर्मणि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('णिजन्त-लट्-कर्मणि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('णिजन्त-लट्-कर्मणि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('णिजन्त-लट्-कर्मणि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('णिजन्त-लट्-कर्मणि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('णिजन्त-लट्-कर्मणि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('णिजन्त-लट्-कर्मणि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('णिजन्त-लट्-कर्मणि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('णिजन्त-लट्-कर्मणि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('णिजन्त-लोट्-कर्तरि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('णिजन्त-लोट्-कर्तरि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('णिजन्त-लोट्-कर्तरि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('णिजन्त-लोट्-कर्तरि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('णिजन्त-लोट्-कर्तरि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('णिजन्त-लोट्-कर्तरि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('णिजन्त-लोट्-कर्तरि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('णिजन्त-लोट्-कर्तरि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('णिजन्त-लोट्-कर्तरि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('णिजन्त-लोट्-कर्मणि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('णिजन्त-लोट्-कर्मणि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('णिजन्त-लोट्-कर्मणि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('णिजन्त-लोट्-कर्मणि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('णिजन्त-लोट्-कर्मणि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('णिजन्त-लोट्-कर्मणि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('णिजन्त-लोट्-कर्मणि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('णिजन्त-लोट्-कर्मणि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('णिजन्त-लोट्-कर्मणि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('णिजन्त-विधिलिङ्-कर्तरि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('णिजन्त-विधिलिङ्-कर्तरि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('णिजन्त-विधिलिङ्-कर्तरि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('णिजन्त-विधिलिङ्-कर्तरि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('णिजन्त-विधिलिङ्-कर्तरि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('णिजन्त-विधिलिङ्-कर्तरि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('णिजन्त-विधिलिङ्-कर्तरि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('णिजन्त-विधिलिङ्-कर्तरि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('णिजन्त-विधिलिङ्-कर्तरि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('णिजन्त-विधिलिङ्-कर्मणि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('णिजन्त-विधिलिङ्-कर्मणि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('णिजन्त-विधिलिङ्-कर्मणि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('णिजन्त-विधिलिङ्-कर्मणि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('णिजन्त-विधिलिङ्-कर्मणि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('णिजन्त-विधिलिङ्-कर्मणि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('णिजन्त-विधिलिङ्-कर्मणि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('णिजन्त-विधिलिङ्-कर्मणि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('णिजन्त-विधिलिङ्-कर्मणि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('णिजन्त-लङ्-कर्तरि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('णिजन्त-लङ्-कर्तरि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('णिजन्त-लङ्-कर्तरि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('णिजन्त-लङ्-कर्तरि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('णिजन्त-लङ्-कर्तरि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('णिजन्त-लङ्-कर्तरि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('णिजन्त-लङ्-कर्तरि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('णिजन्त-लङ्-कर्तरि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('णिजन्त-लङ्-कर्तरि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('णिजन्त-लङ्-कर्मणि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('णिजन्त-लङ्-कर्मणि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('णिजन्त-लङ्-कर्मणि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('णिजन्त-लङ्-कर्मणि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('णिजन्त-लङ्-कर्मणि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('णिजन्त-लङ्-कर्मणि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('णिजन्त-लङ्-कर्मणि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('णिजन्त-लङ्-कर्मणि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('णिजन्त-लङ्-कर्मणि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('णिजन्त-लृट्-कर्तरि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('णिजन्त-लृट्-कर्तरि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('णिजन्त-लृट्-कर्तरि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('णिजन्त-लृट्-कर्तरि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('णिजन्त-लृट्-कर्तरि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('णिजन्त-लृट्-कर्तरि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('णिजन्त-लृट्-कर्तरि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('णिजन्त-लृट्-कर्तरि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('णिजन्त-लृट्-कर्तरि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('णिजन्त-लृट्-कर्मणि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('णिजन्त-लृट्-कर्मणि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('णिजन्त-लृट्-कर्मणि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('णिजन्त-लृट्-कर्मणि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('णिजन्त-लृट्-कर्मणि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('णिजन्त-लृट्-कर्मणि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
